imgname,label
66796.jpg,73
16981.jpg,50
92156.jpg,78
63241.jpg,50
41491.jpg,19
83696.jpg,68
89587.jpg,1
9789.jpg,27
4142.jpg,16
25392.jpg,39
19231.jpg,50
94345.jpg,1
68015.jpg,27
4396.jpg,29
47519.jpg,63
63842.jpg,50
40466.jpg,39
21174.jpg,77
43652.jpg,43
54686.jpg,50
1034.jpg,50
62590.jpg,15
89664.jpg,27
16038.jpg,50
7270.jpg,70
3939.jpg,75
33251.jpg,25
729.jpg,70
46022.jpg,68
30924.jpg,50
63710.jpg,77
4804.jpg,27
54280.jpg,14
88985.jpg,27
87707.jpg,57
47902.jpg,27
58749.jpg,27
64399.jpg,73
68967.jpg,27
18028.jpg,8
46242.jpg,68
29338.jpg,27
33303.jpg,50
12768.jpg,50
71916.jpg,78
73840.jpg,50
23908.jpg,50
46509.jpg,50
85665.jpg,78
35324.jpg,70
60679.jpg,60
83708.jpg,62
13798.jpg,31
85837.jpg,75
56028.jpg,50
87393.jpg,43
64397.jpg,50
1910.jpg,16
58937.jpg,27
77470.jpg,50
12601.jpg,73
35803.jpg,27
12471.jpg,45
36747.jpg,25
6959.jpg,27
61021.jpg,49
32598.jpg,68
81166.jpg,50
32454.jpg,16
19571.jpg,75
61029.jpg,70
34457.jpg,50
34835.jpg,26
15404.jpg,50
77353.jpg,50
25139.jpg,70
28120.jpg,50
53962.jpg,47
6817.jpg,70
71201.jpg,50
76641.jpg,50
45537.jpg,75
51677.jpg,7
1103.jpg,68
94657.jpg,8
48727.jpg,27
86033.jpg,50
545.jpg,50
47523.jpg,16
10862.jpg,47
48486.jpg,68
69714.jpg,70
29329.jpg,39
20551.jpg,80
12046.jpg,27
89500.jpg,50
67074.jpg,50
7921.jpg,70
31906.jpg,53
967.jpg,7
11898.jpg,50
40355.jpg,75
51699.jpg,50
27393.jpg,70
52367.jpg,80
14629.jpg,16
46376.jpg,27
16599.jpg,50
29258.jpg,25
85109.jpg,75
30966.jpg,68
85984.jpg,75
44732.jpg,25
81499.jpg,50
2439.jpg,27
45406.jpg,75
14382.jpg,27
86654.jpg,50
29274.jpg,50
28414.jpg,27
39868.jpg,25
85482.jpg,75
33765.jpg,50
68677.jpg,78
7126.jpg,50
75797.jpg,80
42715.jpg,16
82880.jpg,63
37711.jpg,63
81781.jpg,16
60927.jpg,27
90848.jpg,73
31728.jpg,27
64233.jpg,50
70218.jpg,68
54173.jpg,50
27513.jpg,64
18382.jpg,68
40181.jpg,27
93934.jpg,53
66355.jpg,50
63897.jpg,68
82622.jpg,75
65496.jpg,50
74459.jpg,68
62047.jpg,43
51485.jpg,50
3618.jpg,50
73206.jpg,50
46202.jpg,27
83245.jpg,27
12066.jpg,27
8338.jpg,27
23632.jpg,50
15891.jpg,50
50076.jpg,50
35649.jpg,75
65794.jpg,25
10149.jpg,75
30919.jpg,27
9219.jpg,50
6509.jpg,43
67823.jpg,78
3715.jpg,7
88594.jpg,39
44404.jpg,77
2707.jpg,50
